Elevator,Maids Room,Built in Kitchen Appliances,Pets Allowed,Natural Gas,Pool,Private Garden,Covered Parking,Electricity Meter,Balcony,Central A/C & heating,Water Meter,Landline,Security,Amenities_ID
0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,0,1,1,1,1,1,1,1,0,1,1,1,3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,1,0,0,1,1,1,0,1,1,1,6
0,0,0,0,1,0,0,1,0,1,0,0,1,0,7
0,0,0,0,0,1,0,1,0,1,0,0,0,1,8
1,1,1,0,1,0,0,1,1,1,1,1,1,1,9
0,0,0,0,1,0,1,1,1,0,1,1,0,1,10
1,0,0,1,1,0,0,1,1,1,0,1,1,1,11
1,1,0,1,1,1,0,1,1,1,1,1,1,1,12
0,0,0,0,0,0,0,1,0,1,0,0,0,1,13
0,0,0,1,0,0,0,0,1,1,0,0,0,1,14
0,0,1,1,1,0,0,0,1,1,0,1,1,0,15
1,1,0,1,1,0,1,0,1,1,0,1,1,0,16
1,0,0,0,1,0,1,1,1,1,0,1,1,0,17
1,0,0,0,1,0,0,0,1,1,0,0,0,0,18
0,0,0,1,1,0,1,1,0,1,1,1,1,1,19
0,0,0,0,1,0,0,0,0,1,0,0,0,0,20
1,1,0,1,1,1,0,0,1,1,0,1,1,1,21
0,0,0,0,1,0,1,0,1,0,0,1,1,1,22
0,0,0,1,0,0,0,0,0,1,0,0,0,0,23
1,1,0,1,1,0,0,1,1,1,0,1,1,1,24
1,0,0,0,0,0,0,0,1,0,0,0,0,0,25
1,0,0,0,1,0,0,0,0,0,0,0,1,0,26
1,0,0,1,0,1,0,1,0,1,0,0,0,1,27
0,0,0,0,1,1,0,1,1,1,0,1,0,0,28
0,0,0,1,1,1,1,1,1,0,0,1,0,0,29
1,1,0,1,1,0,0,0,1,1,0,1,0,0,30
0,0,0,0,1,1,1,0,1,0,0,1,0,0,31
1,0,0,0,0,0,0,1,1,1,0,0,1,0,32
0,1,1,1,0,1,0,1,0,1,1,0,0,1,33
0,0,1,1,1,0,0,1,1,1,1,1,1,1,34
1,0,1,1,1,0,0,0,1,1,1,1,1,1,35
0,0,1,1,1,0,0,1,1,0,0,1,1,1,36
0,0,0,0,1,1,0,1,0,1,0,0,0,1,37
0,1,0,0,1,0,0,1,1,1,0,1,1,1,38
0,0,0,1,1,1,1,0,1,0,0,1,0,0,39
0,0,0,1,1,1,1,1,1,0,0,1,0,1,40
0,0,0,0,1,0,1,1,1,1,0,0,0,0,41
0,0,0,1,1,1,0,0,1,0,0,1,0,0,42
0,1,0,1,1,1,1,1,1,1,0,1,0,1,43
1,1,1,1,1,1,1,1,1,1,0,1,1,1,44
0,0,0,0,1,0,0,0,1,1,0,1,1,1,45
0,0,1,1,0,0,1,1,1,1,1,1,0,1,46
0,0,0,1,1,1,0,1,1,1,0,0,1,1,47
0,0,0,1,0,1,1,1,0,0,0,0,0,1,48
0,0,0,1,0,1,1,1,0,0,0,0,0,0,49
0,0,0,1,1,1,1,1,1,1,0,1,1,1,50
1,1,1,1,1,0,1,1,1,1,1,1,1,1,51
0,1,0,1,0,0,1,0,0,1,0,0,0,1,52
0,0,1,1,1,1,1,1,1,1,1,1,1,1,53
1,1,1,1,1,0,0,1,1,1,1,1,1,1,54
1,0,0,0,1,0,0,0,1,0,0,1,0,0,55
1,0,1,0,1,0,0,0,1,1,0,1,1,1,56
0,0,0,1,1,0,1,1,1,1,0,1,1,1,57
1,1,0,1,1,1,1,0,1,1,0,1,0,1,58
0,0,0,0,0,0,1,0,1,0,0,0,0,0,59
1,0,0,0,1,0,0,0,0,1,1,0,0,1,60
1,0,0,1,0,1,1,0,1,1,0,0,0,1,61
