City,Location.1,Location_ID
Cairo,Avelin Compound,1
Cairo,Maadi View,2
Cairo,Obour City,3
Giza,Hadayek al-Ahram,4
Cairo,Bloomfields,5
Cairo,Haptown,6
Cairo,Valeria Maadi,7
Cairo,Mostakbal City,8
Cairo,Galleria Moon Valley Compound,9
Cairo,Madinaty,10
Cairo,Sodic East,11
Cairo,Al Hadaba Al Wosta,12
Cairo,Sun Capital,13
Cairo,Rosail City,14
Cairo,New Cairo,15
Cairo,Sarai,16
Cairo,1st Settlement,17
Gharbia,Tanta,18
Cairo,EL Patio ORO Compound,19
Damietta,New Damietta,20
Cairo,Hyde Park New Cairo Compound,21
Cairo,Nasr City,22
Cairo,Fifth Square Compound,23
Giza,Dokki,24
Cairo,High City,25
North Coast,Cali Coast,26
Cairo,New Maadi,27
Cairo,Sheraton Residence,28
Cairo,Taj City Compound,29
Cairo,Beit Al Watan,30
Cairo,Creek Town Compound,31
Cairo,5th Settlement,32
Cairo,Rehab City Compound,33
New Capital City,Al Maqsad,34
Cairo,Maadi,35
Alexandria,Montazah,36
Cairo,Village West Compound,37
Cairo,Mountain View iCity Compound,38
Cairo,Alma Compound,39
Cairo,Highland Park Compound,40
Cairo,Sheraton,41
Cairo,Arkan Palm 205,42
Cairo,Lugar,43
Cairo,De Joya Compound,44
Cairo,El Maadi,45
Banha,Sky City Banha,46
Cairo,Badya Palm Hills Compound,47
Cairo,Al Burouj,48
Giza,Mohandessin,49
New Capital City,MORAYA NEW CAPITAL,50
Cairo,El Khamayel Compound,51
North Coast,The Gate,52
Red Sea,Hurghada,53
Cairo,Badr City,54
Sharqia,10th of Ramadan,55
Cairo,Matareya,56
Cairo,Ashrafeya Compound,57
Cairo,Hadayek Al Mohandessin Compound,58
Cairo,North House Compound,59
Cairo,5th District,60
New Capital City,City Oval,61
Red Sea,Gouna,62
Giza,Sheikh Zayed,63
Giza,Faisal,64
Alexandria,Smoha,65
Cairo,Hadayek 6th of October,66
Giza,Haram,67
Cairo,Privado,68
Cairo,Cattleya - Arabco Compound,69
Cairo,Cairo Festival City,70
Cairo,Al Narges,71
Cairo,Al Defaa Al Watany Compound,72
Cairo,Tag Sultan Compound,73
New Capital City,Qamari,74
Cairo,El Fostat,75
Cairo,Trio Gardens Compound,76
Cairo,Sama,77
North Coast,Latin District,78
Cairo,Mountain View 1 Compound,79
Cairo,El Fardous Compound,80
Cairo,New Zayed Compound,81
Cairo,White residence Compound,82
Alexandria,Fleming,83
Dakahlia,Mansura,84
Cairo,Acasa,85
North Coast,Golf Porto Marina,86
Cairo,El Lotus,87
Cairo,Regents Park Compound,88
Cairo,Noor City,89
Cairo,New Heliopolis,90
Fayoum,Yusuf al-Sadiq,91
Cairo,Degla Gardens,92
Cairo,Zayed Dunes Compound,93
Giza,6th of October,94
Cairo,Shorouk City,95
Cairo,9th District,96
Cairo,Galleria Compound,97
Cairo,Helwan,98
Cairo,Gharb Golf,99
Alexandria,Azarita,100
Cairo,Amorada Compound,101
Damietta,Beit Al Watan,102
Cairo,West Somid Compound,103
Cairo,Northern Expansions,104
Cairo,South 90 Street,105
Alexandria,Dekheila,106
Cairo,Bait Al Watan Al Takmely Compound,107
Cairo,AZAD Compound,108
Cairo,Family City Compound,109
Cairo,Villette Compound,110
Cairo,Hadayeq El Zeitoun,111
Cairo,Ashgar City Compound,112
Cairo,Solana,113
Cairo,Beverly Hills Compound,114
Cairo,Hadayek al-Kobba,115
Cairo,El Banafseg 6,116
Cairo,South of Academy,117
Cairo,Eastown Compound,118
Cairo,Al Rabwa,119
Cairo,90 Avenue Compound,120
Cairo,Downtown Cairo,121
Cairo,The Butterfly,122
Alexandria,Agami,123
Cairo,El Karma Compound,124
North Coast,Silver Sands,125
New Capital City,R8,126
Cairo,Palm Parks Compound,127
Cairo,Palm Hills New Cairo Compound,128
Cairo,O West Compound,129
Alexandria,Sidi Beshr,130
Cairo,Telal East,131
Alexandria,Stanley,132
Cairo,Rehab Mall 1,133
Cairo,The Village Compound,134
Cairo,Zed East Compound,135
Cairo,The Address East Compound,136
Cairo,Swan Lake Residences,137
Cairo,Heliopolis,138
Monufia,Shebin al-Koum,139
Cairo,Karmell Compound,140
North Coast,SOLARE,141
Cairo,Mivida Compound,142
Cairo,8th District,143
Cairo,Gesr Al Suez,144
Dakahlia,Mit Ghamr,145
Cairo,Mountain View - October Park Compound,146
Cairo,North Rehab,147
Alexandria,Kafr Abdo,148
Cairo,Monark Residence,149
Cairo,Stone Residence Compound,150
Cairo,El Banafseg 10,151
Cairo,Sarayat El Kattameya,152
Cairo,Rivali Compound,153
Alexandria,Laurent,154
Cairo,Green Revolution Compound,155
Cairo,Promenade New Cairo Compound,156
Cairo,Allegria Residence,157
Cairo,Aria Compound,158
Cairo,11th District,159
Cairo,Mountain View 1.1,160
Cairo,Zahraa Al Maadi,161
New Capital City,Vinci,162
Alexandria,Maamoura,163
Cairo,Ivoire Compound,164
Cairo,Rod al-Farag,165
Cairo,Al Andalous,166
Cairo,Solimar Green 3,167
Cairo,Peerage Residence Compound,168
Cairo,Tiba Gardens Compound,169
Cairo,Valencia Valley Compound,170
Giza,Hadayek October,171
Cairo,Nyoum Mostakbal City,172
Cairo,Stone Park Compound,173
Cairo,Rock Vera Compound,174
Cairo,New Narges,175
Cairo,Uptown Cairo,176
Cairo,Mokattam,177
Alexandria,Glim,178
Cairo,I-Sheraton,179
Cairo,Marvel City Compound,180
Cairo,ZED West Compound,181
Cairo,Lake View Compound,182
Cairo,16th District,183
Cairo,Mountain View Hyde Park Compound,184
Cairo,Reve du nil,185
North Coast,Mazarine,186
New Capital City,Catalan,187
Port Said,Dawahy District,188
Alexandria,Bolkly,189
Cairo,Valore Sheraton,190
Cairo,The Icon Residence Compound,191
Cairo,Garnet Compound,192
Cairo,The Waterway Compound,193
Cairo,VYE Sodic Compound,194
Cairo,Degla Palms Compound,195
Cairo,Beta Greens,196
Cairo,Wesal,197
Giza,Boulaq Dakrour,198
Cairo,10th District,199
Cairo,Monte Napoleon,200
Suez,Attaka,201
Cairo,Lake view Residence Compound,202
Cairo,Sodic Westown Compound,203
Port Said,Arab District,204
North Coast,Marassi,205
Cairo,Tag Sultan,206
Cairo,Aeon Compound,207
Cairo,New Capital City,208
Cairo,Murooj Compound,209
Alexandria,Miami,210
Cairo,Ivy Residence,211
Cairo,Cairo Town Compound,212
Cairo,Pyramids Hills Compound,213
Cairo,Six West Compound,214
Cairo,Aliva mostakbal city,215
Cairo,Dar Misr,216
Giza,Maryotaya,217
Cairo,Al Hadaba Al Olya,218
Cairo,District 5 Compound Compound,219
Cairo,Cairo Gate,220
Asyut,Asyut City,221
New Capital City,R7,222
Alexandria,Nakheel,223
Cairo,El Banafseg 5,224
New Capital City,Noor City,225
Cairo,Al Manial,226
Alexandria,Abu Qir,227
Suez,Ain Sukhna,228
Cairo,ONe33,229
Qalyubia,Shubra al-Khaimah,230
Gharbia,Mahalla al-Kobra,231
New Capital City,Midtown Sky,232
Alexandria,Saba Pasha,233
Matruh,Alamein,234
New Capital City,New Garden City,235
Alexandria,Zezenia,236
Cairo,New October,237
Cairo,EL Patio 7,238
Alexandria,Sawari,239
Alexandria,Murooj,240
Cairo,Amara Residence,241
Cairo,El Mearag City,242
Cairo,Garden Hills Compound,243
North Coast,North Edge Towers,244
Cairo,Karma Kay Compound,245
Cairo,Ever Compound,246
Cairo,Leaves Compound,247
Cairo,Bliss Gate,248
Cairo,El Patio Compound,249
Cairo,Capital Gardens,250
Alexandria,Sporting,251
Cairo,Greens Compound,252
Alexandria,Sidi Gaber,253
North Coast,Palm Hills New Alamein,254
Cairo,Rivers Compound,255
Alexandria,San Stefano,256
Cairo,East of Academy,257
Cairo,New Giza Compound,258
Cairo,Pyramids Wales Compound,259
Alexandria,Alex West,260
New Capital City,La Capital,261
Cairo,Sky Ramp,262
Alexandria,Bacchus,263
Cairo,Park View Compound,264
Qalyubia,Qanater al-Khairia,265
South Sinai,Sharm al-Sheikh,266
Cairo,Asmarat Heights,267
Alexandria,Cleopatra,268
Cairo,Joulz Compound,269
Alexandria,Moharam Bik,270
Cairo,New Andalous,271
Cairo,South Investors,272
Cairo,El Yasmeen 8,273
Cairo,Moon City,274
Cairo,Hyde Park Compound,275
Cairo,Green Square,276
Cairo,El Banafseg 2,277
Cairo,Atrio Compound,278
Cairo,Zayed Regency Compound,279
Cairo,Lake View Residence 2,280
Cairo,El Masrawia Compound,281
Cairo,The Crest Compound,282
Cairo,Mohammed Naguib Axis,283
Cairo,Aria,284
Cairo,Hadayek Helwan,285
Cairo,4th District,286
Cairo,El Koronfel,287
Alexandria,Orouba Skyline,288
Cairo,Talda Mostakbal City,289
Alexandria,Roushdy,290
Cairo,Cairo Gate Compound,291
Alexandria,Al Ibrahimiyyah,292
New Capital City,Lumia Residence,293
Cairo,Allegria,294
Cairo,Nest Cairo Compound,295
Cairo,7th District,296
New Capital City,R3,297
Cairo,La Mirada,298
New Capital City,Midtown Condo,299
Cairo,IL Bosco City,300
Cairo,Elora Compound,301
Cairo,Kayan,302
Cairo,The Brooks Compound,303
Cairo,Park Valley Compound,304
